User,Language,"Total Words",Rank,Category
"Gabriel Tenita (ggedamed)",Romanian,190525,1,1
"Jesús Ruiz (jruiz)",Spanish,68653,2,1
"Alper Demir (alper-demir)",Turkish,48060,3,1
dzuman,Vietnamese,45502,4,1
"Yuji Sugimoto (bm-sugi)",Japanese,34257,5,1
"A Petapouca (petapouca)",Galician,28020,6,1
Koral,Polish,21629,7,1
"Enzo Ferrara (ferribbotte)",Italian,18807,8,2
DaoKakao,Russian,18070,9,2
"Filip Filipović (filipfilipovic)",Croatian,17960,10,2
lolypop000,Slovenian,17261,11,2
"SkaZun (raidhunters)",Ukrainian,15914,12,2
"SeongHyeon Cho (jaymz9634)",Korean,15234,13,2
"Monika (monikaraciunaite)",Lithuanian,15037,14,2
"Patrik Lindblom (extendus)",Swedish,14571,15,2
"Roy (rstvMacRoy)",Swedish,13622,16,2
"Nicolas Zampieri (nickzampieri)","French, Canada",12770,17,2
"Oriol Duarri (oduarri)",Catalan,11996,18,2
"Cha (cafetango)","Chinese Traditional",10745,19,2
"Yosef Esses Cohen (ppesses)","Spanish, Mexico",8872,20,2
ondrej_pisa,Czech,7961,21,3
"Mauro Tschiedel (mauroagr)","Portuguese, Brazilian",7879,22,3
daichang,Japanese,7562,23,3
AmirRzd,Persian,7498,24,3
"webdvl (megashopba)",Slovak,7076,25,3
"Danni Afasyah (prestanesia)",Indonesian,6159,26,3
"Jose Vicente Bustos Ferrer (jvbferrer)",Spanish,5947,27,3
"Stamatis (breezer)",Greek,5262,28,3
khouloud_SIFAST,Arabic,5101,29,3
farior,Bulgarian,5017,30,3
warface,Persian,4874,31,4
"Erik Knudsen (eriknuds)",Norwegian,4640,32,4
pixelwebmx1,"Spanish, Mexico",4498,33,4
hanen_bradai,Arabic,4011,34,4
transmetent,Catalan,3846,35,4
"Vilnis Dreimanis (marketings)",Latvian,3815,36,4
"Hai Andre Boukris (arnevo)",Hebrew,3658,37,4
"Mojtaba Malaekeh (mojtabamalaekeh)",Persian,3619,38,4
"Morten Borg (mortenborg)",Danish,3370,39,4
"Ilyasov Ivan (tRACE)",Russian,3123,40,4
"M. Mirena (mmirena)",Albanian,2978,41,4
"Carlos Loyola Vásquez (carlosloyola14)","Spanish, Peru",2841,42,4
"Mohammed Chakir (idchakirm5)",Arabic,2417,43,5
gwaschier,German,2417,44,5
maurizioag,"Spanish, Venezuela",2400,45,5
"Gunnar Orn Thordarson (gunnarornthordarson)",Icelandic,2350,46,5
"Daniel Valente (dgv)","Portuguese, Brazilian",2327,47,5
"Csaba Mártha (csy)",Hungarian,2210,48,5
"Saeed Sattar Beglou (saeedsb)",Persian,2156,49,5
"Stanislav Yordanov (StanProg)",Bulgarian,2156,50,5
cloud_web,Georgian,2056,51,5
"Luis Sanchez (sanchezluys)","Spanish, Venezuela",2029,52,5
luizcarlosmnjr,"Portuguese, Brazilian",1911,53,5
"Dimitrios Karvounaris (kdimi)",German,1862,54,5
schibulski,German,1854,55,5
"Sagar Pokhrel (Hem) (geeksagar)",Nepali,1798,56,5
anubis2702,Romanian,1680,57,5
"Roger López (rogerlopz)","Spanish, Mexico",1672,58,5
"Antti Ojaniemi (scsise)",Finnish,1595,59,5
CapitalX,Arabic,1547,60,5
RogerWMM,Catalan,1522,61,5
"Thang Luu (luuthang)",Vietnamese,1515,62,5
Marme,Portuguese,1480,63,5
"Eduardo Bonsi (ebonsi)","Portuguese, Brazilian",1471,64,5
"Olta Çantası (soyalp.ms.ms)",Turkish,1463,65,5
"Anouar Talidi (Anouar_Talidi)",Arabic,1378,66,5
"Mads Oliver Jenssen (madsoliver)",Norwegian,1353,67,5
caplat93,Romanian,1341,68,5
"Erik Kraijenoord (erikkraijenoord)",Dutch,1332,69,5
"Gabriel Manea (wwwimagineataRO)",Romanian,1313,70,5
"Ezz El Dean Hashish (franko43rb)",Arabic,1280,71,5
Bulldesign,Danish,1275,72,5
"Tor Eirik Trandal (teitrand)",Norwegian,1274,73,5
"Jorge Vargas (jorgevrgs)","Spanish, Colombia",1268,74,5
PifyZ,French,1265,75,5
lyoNick,Hebrew,1176,76,5
"Junior Maciel (JuniorMaciel)","Portuguese, Brazilian",1133,77,5
"Ákos Beke (akosbeke)",Hungarian,1125,78,5
Tomo402,Slovak,1121,79,5
"Daniele Manarin (cracker_pazzo)",Italian,1071,80,5
jdperea59,"Spanish, Colombia",1029,81,5
remark,Turkish,1019,82,5
"Sidney Fernando (sidneyfernando89)","Portuguese, Brazilian",1006,83,5
"Adam Janík (jmenujuseadam)",Czech,996,84,5
bhargavlalo,Hindi,982,85,5
jinjit,Hebrew,972,86,5
"Nikos Krontiris (nikoskrontirist)",Greek,929,87,5
"Lucas Vitale (shacker)",Spanish,922,88,5
VPuks,Latvian,880,89,5
postbluecz,Czech,865,90,5
nasimparsi,Persian,852,91,5
tujiguoman,Galician,828,92,5
Alcoche,Spanish,755,93,5
dehkka,"Portuguese, Brazilian",748,94,5
pccnet,Persian,720,95,5
hamidreza6620,Persian,709,96,5
"Julio Jimenez (AnuncioUrbano)","Spanish, Mexico",706,97,5
"Theodore Sfakianakis (irmaiden)",Greek,690,98,5
"Long Vu Duc (longvu75)",Vietnamese,689,99,5
"Huseyn Ismayilov (hismayilov)",Azerbaijani,687,100,5
"Olcso Mobil Bolt (electromobil)",Persian,685,101,5
"Bojanstven (bojanstven)","Serbian (Latin)",670,102,5
tgferreira,Portuguese,656,103,5
"Christian López (ChristianLopezGonzalez)",Spanish,645,104,5
"Tamás Trischler (trisi75)",Hungarian,621,105,5
"Lenny Obez (LennyObez)",French,607,106,5
"Gytis Šk (gytis)",Lithuanian,597,107,5
"Mohammad Sadegh Rategh (Rategh)",Persian,591,108,5
"Norwegian_Rat (Izraelviz)","Norwegian Nynorsk",586,109,5
rodrigojob,"Portuguese, Brazilian",575,110,5
Browserwerk,German,542,111,5
ftugrul,Turkish,529,112,5
crowd-dyr,Danish,517,113,5
"Josue Meyler Ponce Paredes (j_ponce)","Spanish, Peru",511,114,5
